开始时间,结束时间,字幕内容,字幕颜色
0:04:58.22,0:04:59.77,and you kept talking in your sleep.,
0:05:00.48,0:05:02.16,You’re lucky I acted in time.,
0:05:02.48,0:05:03.63,If I was a moment too late,,
0:05:03.98,0:05:05.56,your identity would have been exposed!,
0:05:09.11,0:05:10.21,Qi Yan: Many thanks.,#A9A0FF
0:05:11.28,0:05:13.97,Ding You: Have you actually taken the drugs that I left for you as scheduled?,
0:05:15.55,0:05:16.86,Qi Yan: Alter the prescription again.,#A9A0FF
0:05:18.42,0:05:20.87,Ding You: That drug is already very strong,,
0:05:21.31,0:05:23.39,a stronger dose will only harm your health.,
0:05:24.59,0:05:26.32,Qi Yan: I am already a dead person.,#A9A0FF
0:05:28.13,0:05:29.30,Ding You: We don’t have much time,,
0:05:29.63,0:05:30.47,so listen up.,
0:05:31.10,0:05:34.92,Master has ordered you to reveal your identity to Nagsi Jiya.,
0:05:38.68,0:05:40.79,Qi Yan: Jiya was just sealed as consort yesterday,,#A9A0FF
0:05:41.16,0:05:42.74,and Shifu already knows about it?,#A9A0FF
0:05:44.33,0:05:45.72,Did she leave the valley?,#A9A0FF
0:05:46.78,0:05:48.24,Ding You: What do you mean yesterday,,
0:05:48.65,0:05:50.52,you’ve been sick for three days.,
0:05:50.88,0:05:52.47,Do you know how dangerous that is?,
0:05:53.25,0:05:54.16,Qi Yan: Three days?,#A9A0FF
0:05:55.19,0:05:57.21,Were you the one taking care of me for the past three days?,#A9A0FF
0:05:57.21,0:05:58.37,Ding You: Nangong Jingnu was the one,
0:05:58.37,0:06:00.11,who took care of you for three days without rest,,
0:06:01.57,0:06:02.76,but judging from her reaction,,
0:06:03.44,0:06:04.54,I don’t think she knows anything yet.,
0:06:05.78,0:06:08.91,You probably only started to talk nonsense this morning,,
0:06:09.89,0:06:10.91,don’t worry about it.,
0:06:13.16,0:06:14.65,Qi Yan: Please tell Shifu,#A9A0FF
0:06:15.61,0:06:17.81,that the lead I buried is about to come into effect.,#A9A0FF
0:06:18.90,0:06:20.57,Nagsi Jiya’s father,,#A9A0FF
0:06:21.24,0:06:24.41,he was the one who led the entire Tuba clan to betray the Jing kingdom back then.,#A9A0FF
0:06:25.06,0:06:28.58,Be it the Nangong clan or the Tuba tribe,,#A9A0FF
0:06:28.78,0:06:30.12,they are all my enemies.,#A9A0FF
0:06:31.28,0:06:33.27,I will absolutely not cooperate with my enemy!,#A9A0FF
0:06:35.40,0:06:37.60,I will give Shifu a satisfying answer.,#A9A0FF
0:06:38.01,0:06:39.11,Ding You: I will try my best.,
0:06:41.96,0:06:43.18,Qi Yan: You can tell her,#A9A0FF
0:06:43.92,0:06:45.67,that the Fuma estate will be completed very soon.,#A9A0FF
0:06:46.59,0:06:49.86,Once I move out, everything will become much easier.,#A9A0FF
0:06:51.45,0:06:54.30,I will take the blood of a member of the Nangong imperial clan,#A9A0FF
0:06:55.14,0:06:56.32,as proof for her.,#A9A0FF
0:06:57.96,0:06:58.38,Ding You: Alright.,
0:07:00.40,0:07:02.87,When you were talking in your sleep just now,,
0:07:02.87,0:07:04.35,Nangong Jingnu heard you say things like ‘let go of them’.,
0:07:05.00,0:07:07.17,Think about how you’re going to explain that.,
0:07:10.24,0:07:11.00,Also,,
0:07:17.31,0:07:18.85,get the smell of alcohol on your body.,
0:07:18.85,0:07:20.53,I told her that I will rub alcohol on you.,
0:07:22.15,0:07:24.43,And I’ll leave this drug for you, I’m going now.,
0:07:24.61,0:07:25.07,Qi Yan: Mn.,#A9A0FF
0:07:26.13,0:07:26.82,Ding You: I’ll be going now.,
0:08:04.89,0:08:07.50,Qi Yan: She took care of me for three days without rest?,#A9A0FF
0:08:09.91,0:08:10.93,Your Highness…,#A9A0FF
0:08:16.79,0:08:18.59,Nangong Jingnu: Qi Yan, you’re awake?,#FF7D40
0:08:19.25,0:08:20.35,Why are you getting up?,#FF7D40
0:08:20.35,0:08:21.00,Qi Yan: Your Highness…,#A9A0FF
0:08:21.31,0:08:23.74,Nangong Jingnu: Stay put, you’re still sick!,#FF7D40
0:08:24.52,0:08:25.76,Qi Yan: Courtesy must not be abandoned.,#A9A0FF
0:08:27.89,0:08:29.65,Nangong Jingnu: Don’t be mad anymore, please?,#FF7D40
0:08:31.64,0:08:33.01,Qi Yan: This subject wouldn’t dare.,#A9A0FF
0:08:35.53,0:08:37.86,Nangong Jingnu: I still prefer how we used to be,,#FF7D40
0:08:39.05,0:08:40.07,in the days where you made me laugh,,#FF7D40
0:08:40.63,0:08:41.83,and you laughed too.,#FF7D40
0:08:45.11,0:08:45.85,Qi Yan…,#FF7D40
0:08:46.61,0:08:47.98,Er-jie told me that,,#FF7D40
0:08:48.61,0:08:52.28,your Fuma estate will be completed soon.,#FF7D40
0:08:52.84,0:08:53.56,Qi Yan: Mn.,#A9A0FF
0:08:54.43,0:08:57.21,That’s right, it is almost complete.,#A9A0FF
0:08:59.55,0:09:00.96,Nangong Jingnu: How dumb of me,,#FF7D40
0:09:01.48,0:09:03.03,I forgot that this was going to happen.,#FF7D40
0:09:03.74,0:09:05.83,I thought that, we could…,#FF7D40
0:09:08.19,0:09:12.19,It turned out that even a married couple must live separately.,#FF7D40
0:09:13.56,0:09:14.29,Qi Yan: Your Highness…,#A9A0FF
0:09:16.44,0:09:17.27,Nangong Jingnu: Qi Yan.,#FF7D40
0:09:17.51,0:09:18.44,Qi Yan: Yes.,#A9A0FF
0:09:19.51,0:09:20.88,Nangong Jingnu: Going back on one’s word,,#FF7D40
0:09:21.26,0:09:22.92,will one really go to hell for it?,#FF7D40
0:09:24.05,0:09:24.78,Qi Yan: …,#A9A0FF
0:09:26.52,0:09:28.00,This subject does not know.,#A9A0FF
0:09:28.47,0:09:31.49,Nangong Jingnu: If I do more acts of kindness and give generously to charity,,#FF7D40
0:09:31.97,0:09:35.86,will all of the accumulated merit cancel out the breach of trust one day?,#FF7D40
0:09:38.68,0:09:39.81,Qi Yan: Perhaps it will.,#A9A0FF
0:09:41.29,0:09:42.24,Nangong Jingnu: Qi Yan,,#FF7D40
0:09:43.61,0:09:44.59,I’m sorry,,#FF7D40
0:09:46.22,0:09:47.34,I went back on my word.,#FF7D40
0:09:53.43,0:09:54.32,Nangong Jingnu: What’s wrong?,#FF7D40
0:09:54.36,0:09:55.95,Are you feeling uncomfortable anywhere?,#FF7D40
0:09:56.47,0:09:58.46,Imperial doctor Ding hasn’t gone far, I’ll go find him!,#FF7D40
0:09:58.94,0:10:00.11,Qi Yan: Don’t go, Your Highness.,#A9A0FF
0:10:00.72,0:10:01.74,Nangong Jingnu: What’s wrong?,#FF7D40
0:10:02.65,0:10:04.04,Why are you crying?,#FF7D40
0:10:05.96,0:10:09.63,Qi Yan: It’s the smell of alcohol, it’s too strong.,#A9A0FF
0:10:12.41,0:10:14.17,Nangong Jingnu: Mm, it is somewhat.,#FF7D40
0:10:16.57,0:10:20.14,Qi Yan: Your Highness, you must be tired out over the past few days while this subject was sick.,#A9A0FF
0:10:20.77,0:10:22.20,Will you stay and rest for a while?,#A9A0FF
0:10:22.83,0:10:23.52,Nangong Jingnu: Alright.,#FF7D40
0:10:32.38,0:10:33.95,Nangong Jingnu: What did you dream about just now?,#FF7D40
0:10:34.77,0:10:36.38,You looked miserable.,#FF7D40
0:10:37.88,0:10:42.46,Qi Yan: This subject dreamt about the people of the Qi clan who died in the epidemic.,#A9A0FF
0:10:43.35,0:10:47.80,They were shackled and taken somewhere to be detained.,#A9A0FF
0:10:49.86,0:10:53.73,It was probably because there is no one to light incense for them.,#A9A0FF
0:10:55.25,0:10:57.08,Nangong Jingnu: How can that be?,#FF7D40
0:10:59.25,0:11:00.87,Once the Fuma estate is built,,#FF7D40
0:11:01.31,0:11:04.07,you can build an ancestral hall for the Qi clan there,,#FF7D40
0:11:04.80,0:11:06.65,to offer consolation for their souls above.,#FF7D40
0:11:08.00,0:11:09.54,Qi Yan: This subject is a Fuma,,#A9A0FF
0:11:10.32,0:11:10.82,that isn’t…,#A9A0FF
0:11:10.82,0:11:11.40,Nangong Jingnu: I’ll allow it.,#FF7D40
0:11:12.28,0:11:13.49,If the inner court division asks,,#FF7D40
0:11:14.12,0:11:16.44,just say that I told you to build it.,#FF7D40
0:11:19.18,0:11:20.40,Qi Yan: Thank you, Your Highness.,#A9A0FF
0:11:22.81,0:11:25.87,Nangong Jingnu: Go to sleep, I’m so tired.,#FF7D40
0:11:26.59,0:11:27.08,Qi Yan: Mn.,#A9A0FF
0:11:39.22,0:11:40.77,Qi Yan: **Your Highness, oh, Your Highness.**,#A9A0FF
0:11:42.18,0:11:43.61,**In the end, you’re still…**,#A9A0FF
0:11:49.50,0:11:52.64,**Your birthday is coming up soon.**,#A9A0FF
0:11:54.60,0:11:56.84,**There is not much time left for me as well.**,#A9A0FF
0:12:03.13,0:12:05.20,Qi Yan: **What does Shifu mean by this?**,#A9A0FF
0:12:06.17,0:12:09.82,**Why tell me to put life-threatening blackmail material in Jiya’s hands?**,#A9A0FF
0:12:11.04,0:12:13.58,**Have they already come to an agreement?**,#A9A0FF
0:12:13.82,0:12:15.16,**Or does she have other plans?**,#A9A0FF
0:12:17.27,0:12:18.22,**This chessboard of hers…**,#A9A0FF
0:12:19.20,0:12:22.76,**Is it finally time for me to be considered an abandoned pawn as well?**,#A9A0FF
0:12:30.76,0:12:33.38,[Princess estate],
0:12:33.77,0:12:37.01,Qiuju: Your Highness, the Ministry of Works sent someone to report that,
0:12:37.36,0:12:40.07,the Fuma estate will be complete in a few days.,
0:12:40.61,0:12:43.65,The soothsaying division said that the ninth day of the ninth month,
0:12:43.65,0:12:44.68,is a good day for moving.,
0:12:45.15,0:12:46.72,His Majesty has also confirmed,,
0:12:46.72,0:12:49.00,both Fumas will be moving in the same day.,
0:12:49.47,0:12:50.97,This maid is here to ask Your Highness for instructions,
0:12:51.34,0:12:52.71,regarding the staff for the Fuma estate.,
0:12:52.71,0:12:54.42,Should they be transferred from the Princess estate,,
0:12:54.47,0:12:56.36,or assigned by the inner court division?,
0:12:56.94,0:12:59.11,What items should be delivered as well?,
0:12:59.11,0:13:01.24,Your Highness’ approval is required.,
0:13:01.90,0:13:04.41,Nangong Jingnu: Oh. So soon?,#FF7D40
0:13:05.50,0:13:06.85,Qiuju: It’s been over a year,,
0:13:07.19,0:13:09.19,and it was just a restructuring of an old residence in the first place.,
0:13:09.19,0:13:10.43,It was considerably slow.,
0:13:11.02,0:13:11.78,Nangong Jingnu: Where is Qi Yan?,#FF7D40
0:13:12.30,0:13:13.29,Qiuju: Answering Your Highness,,
0:13:13.68,0:13:15.84,Lord Fuma has gone to the study before dawn.,
0:13:16.51,0:13:19.48,Lord Fuma said that he wants to leave a few books for Your Highness.,
0:13:19.75,0:13:22.20,He has used quite a few stacks of paper in this period alone.,
0:13:22.35,0:13:25.43,Oh~ Should this maid invite Lord Fuma here?,
0:13:26.50,0:13:28.21,Nangong Jingnu: What is he writing about that’s so urgent,,#FF7D40
0:13:28.61,0:13:30.21,he was sick just a few days ago.,#FF7D40
0:13:31.77,0:13:33.62,It’s fine, let him work.,#FF7D40
0:13:34.43,0:13:36.73,Go and bring the name roster for the estate,#FF7D40
0:13:36.73,0:13:38.57,and the directory of the estate storage here.,#FF7D40
0:13:38.85,0:13:39.53,Qiuju: Understood.,
0:13:47.06,0:13:47.76,Qiuju: Your Highness.,
0:13:47.93,0:13:49.99,Nangong Jingnu: Mn, let me see.,#FF7D40
0:13:52.75,0:13:54.54,Nangong Jingnu: For the stewardess…,#FF7D40
0:13:56.32,0:13:59.03,Assign both Xiahe and Dongmei to the Fuma estate.,#FF7D40
0:13:59.61,0:14:02.35,They have been by my side for a long time as well,,#FF7D40
0:14:02.53,0:14:04.63,they are familiar and handle matters properly.,#FF7D40
0:14:05.26,0:14:08.28,They know Qi Yan’s health and temper somewhat;,#FF7D40
0:14:08.69,0:14:09.78,I can rest assured.,#FF7D40
0:14:10.82,0:14:12.27,Qiuju: Your Highness, this…,
0:14:12.53,0:14:13.30,Nangong Jingnu: What’s the matter?,#FF7D40
0:14:14.30,0:14:15.25,Qiuju: Your Highness,,
0:14:15.66,0:14:16.94,it is just Xiahe, Dongmei, and I,
0:14:16.94,0:14:20.35,who are stewardesses in the Princess estate now.,
0:14:20.92,0:14:22.94,If you assign both of them to the Fuma estate,,
0:14:23.46,0:14:26.06,this maid truly can’t deal with everything alone.,
0:14:26.89,0:14:27.97,And besides,,
0:14:27.97,0:14:33.92,Lord Fuma will surely refuse to have more stewardesses than Your Highness.,
0:14:36.90,0:14:40.63,Nangong Jingnu: Then let Dongmei stay and send Xiahe over.,#FF7D40
0:14:41.76,0:14:44.87,I don’t really know the house servants and guards.,#FF7D40
0:14:45.39,0:14:48.61,You can assign two teams of capable, honest and stable ones.,#FF7D40
0:14:48.89,0:14:49.56,Qiuju: Understood.,
0:14:50.54,0:14:52.19,Nangong Jingnu: And the small kitchen, mm,,#FF7D40
0:14:54.05,0:14:57.77,send those who make the dishes that Fuma favors,#FF7D40
0:14:57.77,0:14:59.16,to the Fuma estate.,#FF7D40
0:15:00.16,0:15:00.72,Qiuju: Understood.,
0:15:03.72,0:15:06.19,Nangong Jingnu: Do you remember which is the account book for medical ingredients?,#FF7D40
0:15:07.89,0:15:09.49,Qiuju: Oh, Your Highness, this is the book.,
0:15:12.71,0:15:15.64,Nangong Jingnu: When imperial doctor Ding comes to take a pulse reading of assurance next time,,#FF7D40
0:15:16.01,0:15:19.12,ask him to help pick out a few commonly used ones and list them individually.,#FF7D40
0:15:19.85,0:15:22.22,Qiuju: Should it be set aside in a trunk straightaway?,
0:15:22.76,0:15:23.74,Nangong Jingnu: In a trunk?,#FF7D40
0:15:24.15,0:15:24.80,What for?,#FF7D40
0:15:25.91,0:15:28.11,Qiuji: Is it not for Lord Fuma to bring with him?,
0:15:28.54,0:15:29.49,Nangong Jingnu: Who said that?,#FF7D40
0:15:29.91,0:15:32.30,The commonly used ones are for us to keep,,#FF7D40
0:15:32.65,0:15:34.77,the rest is for Qi Yan to take with him.,#FF7D40
0:15:35.30,0:15:37.31,Don’t you know what his health is like?,#FF7D40
0:15:37.49,0:15:38.92,He falls sick every once a while,,#FF7D40
0:15:38.92,0:15:39.70,his health is poor,,#FF7D40
0:15:40.14,0:15:42.46,how can he go without keeping some valuable medical ingredients on hand?,#FF7D40
0:15:44.72,0:15:45.44,Qiuju: Understood.,
0:15:45.63,0:15:46.24,Nangong Jingnu: Oh,,#FF7D40
0:15:46.50,0:15:48.00,and the books in our estate,,#FF7D40
0:15:48.34,0:15:50.71,let Qi Yan take all of the books he likes.,#FF7D40
0:15:51.43,0:15:53.34,As for gold and silverware,,#FF7D40
0:15:53.34,0:15:55.01,porcelain, painting and calligraphy,,#FF7D40
0:15:55.01,0:15:55.75,rare treasures…,#FF7D40
0:15:56.42,0:15:57.62,you can pick half of them out.,#FF7D40
0:15:57.62,0:15:58.62,Choose the good ones,,#FF7D40
0:15:58.62,0:16:00.16,it’ll be moved over there as well.,#FF7D40
0:16:02.18,0:16:05.35,Qiuju: **Her Highness is going to give Lord Fuma**,
0:16:05.35,0:16:07.19,**half of the Princess estate’s property…**,
0:16:08.71,0:16:09.41,Qiuju: Understood.,
0:16:10.13,0:16:10.99,Servant girl: Your Highness,,
0:16:10.99,0:16:13.38,Miss Baizhi, who serves the Zhuohua Highness, is here.,
0:16:13.60,0:16:15.60,She is waiting for Your Highness in the side hall.,
0:16:15.79,0:16:17.66,Nangong Jingnu: Mm, I’ll go and see her.,#FF7D40
0:16:17.96,0:16:19.25,Take the account books back with you.,#FF7D40
0:16:19.29,0:16:20.00,Qiuju: Understood.,
0:16:27.17,0:16:29.52,Baizhi: This maid, Baizhi, greets the Zhenzhen Highness.,
0:16:29.78,0:16:31.47,Nangong Jingnu: Did er-jie ask you to deliver a message?,#FF7D40
0:16:31.88,0:16:34.90,Baizhi: Answering Your Highness, our Highness asks you to enter the palace as soon as possible.,
0:16:36.18,0:16:36.83,Nangong Jingnu: What?,#FF7D40
0:16:36.83,0:16:37.81,What happened?,#FF7D40
0:16:39.61,0:16:41.16,Baizhi: This maid will boldly speak,,
0:16:41.51,0:16:43.74,this maid heard that His Majesty has fallen ill,,
0:16:44.00,0:16:45.63,our Highness wants you to visit the palace.,
0:16:46.61,0:16:47.65,Nangong Jingnu: Emperor Father is sick?,#FF7D40
0:16:48.22,0:16:49.54,He was fine just a few days ago,,#FF7D40
0:16:49.86,0:16:50.89,has the imperial doctor been summoned?,#FF7D40
0:16:50.89,0:16:51.73,What is going on?,#FF7D40
0:16:52.08,0:16:52.97,Baizhi: This maid does not know.,
0:16:54.23,0:16:56.60,Nangong Jingnu: You can go back now, I will be there soon.,#FF7D40
0:16:56.79,0:16:57.36,Baizhi: Understood.,
0:16:59.24,0:16:59.92,Nangong Jingnu: Someone come!,#FF7D40
0:17:02.74,0:17:03.46,Servant girl: Your Highness.,
0:17:03.79,0:17:05.09,Nangong Jingnu: I am taking a trip to the palace,,#FF7D40
0:17:05.43,0:17:08.21,tell Fuma that Emperor Fuma is feeling unwell,,#FF7D40
0:17:08.69,0:17:09.69,I will be visiting him in the palace.,#FF7D40
0:17:10.30,0:17:12.34,I will send someone to say when I will be returning,,#FF7D40
0:17:12.91,0:17:14.29,tell him to take good care of himself.,#FF7D40
0:17:14.73,0:17:15.31,Servant girl: Understood.,
0:17:23.29,0:17:25.94,[Imperial palace],
0:17:27.08,0:17:29.37,Palace maid: Zhuohua Highness, the Zhenzhen Highness is here.,
0:17:32.40,0:17:33.21,Nangong Shunu: Xiao-mei.,
0:17:34.79,0:17:36.45,Nangong Jingnu: Er-jie, what happened?,#FF7D40
0:17:36.64,0:17:37.92,Is Emperor Father sick?,#FF7D40
0:17:37.97,0:17:38.77,Nangong Shunu: Shh,,
0:17:39.25,0:17:41.02,Emperor Father just took his medicine and went to sleep,,
0:17:41.33,0:17:42.40,let’s talk outside.,
0:17:43.31,0:17:43.96,Nangong Jingnu: Alright.,#FF7D40
0:17:48.06,0:17:49.30,Nangong Shunu: All of you may go.,
0:17:49.65,0:17:50.41,Palace maids: Understood.,
0:17:55.79,0:17:58.07,Nangong Jingnu: Er-jie, what exactly is going on?,#FF7D40
0:17:58.46,0:17:59.92,Emperor Father’s health has always been good,,#FF7D40
0:18:00.24,0:18:01.79,he was just fine a few days ago.,#FF7D40
0:18:03.52,0:18:04.65,Nangong Shunu: Ai, you’re finally here.,
0:18:05.41,0:18:08.69,I learned about Emperor Father’s illness from da-jie.,
0:18:09.65,0:18:12.01,She said that he suddenly fell ill yesterday night,,
0:18:12.27,0:18:13.56,and he did not allow her to summon the imperial doctor.,
0:18:14.16,0:18:16.49,Da-jie watched over Emperor Father for the entire night, getting no rest at all.,
0:18:16.92,0:18:18.51,It was only when she couldn’t stay up any longer in the morning,
0:18:18.73,0:18:20.07,that she sent someone to look for me.,
0:18:21.24,0:18:22.00,Ai~,
0:18:22.83,0:18:25.05,I am not as thorough a caretaker as da-jie,,
0:18:25.35,0:18:27.24,so I asked Baizhi to call you here.,
0:18:28.58,0:18:29.91,Nangong Jingnu: This is so serious,,#FF7D40
0:18:29.91,0:18:31.56,why aren’t we calling the imperial doctor?,#FF7D40
0:18:31.89,0:18:33.93,No, I’m going to call one here.,#FF7D40
0:18:33.93,0:18:35.01,Nangong Shunu: Ai! Don’t go,,
0:18:36.03,0:18:37.68,Sijiu gonggong agrees on this as well.,
0:18:38.29,0:18:40.59,Da-jie would have invited the imperial doctor already if she could,,
0:18:40.81,0:18:42.16,why wait until now?,
0:18:43.46,0:18:45.94,The three of us sisters just need to watch over Emperor Father,
0:18:46.39,0:18:48.17,and hope that he recovers soon.,
0:18:49.02,0:18:51.60,Do not tell anyone else about this.,
0:18:52.65,0:18:55.12,Nangong Jingnu: Something so serious as Emperor Father’s illness,#FF7D40
0:18:55.12,0:18:57.40,is unknown to the royal brothers as well?,#FF7D40
0:18:58.99,0:19:00.12,Nangong Shunu: You know this.,
0:19:00.57,0:19:02.98,Sijiu gonggong has been with Emperor Father for more than half a lifetime,,
0:19:03.52,0:19:05.68,he seldom gives orders,,
0:19:06.58,0:19:10.26,but anything that he insists on is more or less Emperor Father’s word.,
0:19:11.41,0:19:12.15,Sijiu: Ahem…,
0:19:14.40,0:19:16.14,Nangong Shunu: Sijiu gonggong is here.,
0:19:18.14,0:19:20.96,Sijiu: The Zhuohua Highness has worked hard keeping watch,,
0:19:21.42,0:19:22.98,please return and rest in your palace.,
0:19:23.46,0:19:24.09,Nangong Shunu: Alright.,
0:19:24.98,0:19:26.33,Then, xiao-mei…,
0:19:26.33,0:19:27.56,I’ll come again tonight.,
