开始时间,结束时间,字幕内容,字幕颜色
0:00:04.98,0:00:09.97,Translator: Melts,
0:00:09.97,0:00:13.93,Timing: zhufree,
0:00:15.35,0:00:21.90,[Qi Yan’s dreamscape, official road],
0:00:25.02,0:00:26.77,Qi Yan: Ah… What a hot day…,#A9A0FF
0:00:27.65,0:00:28.12,Baying: Ah—,
0:00:28.12,0:00:28.92,Qi Yan: Hm?,#A9A0FF
0:00:29.20,0:00:31.55,Baying: Ah— Mercy, mercy!Ah!,
0:00:31.55,0:00:32.62,Cruel official: Behave yourselves!,
0:00:32.62,0:00:34.02,Baying: Ah— Ah!,
0:00:37.07,0:00:38.60,Xiao-Die: Ah!,
0:00:39.97,0:00:41.91,Stop hitting us,,
0:00:43.29,0:00:45.50,let Baying da-ge go!,
0:00:45.50,0:00:47.25,Ah—,
0:00:48.85,0:00:50.70,Qi Yan: Xiao-Die, Baying!,#A9A0FF
0:00:50.70,0:00:51.70,Cruel official: Get a move on,,
0:00:52.02,0:00:53.55,if we’re late for the mule and horse market,,
0:00:53.55,0:00:54.77,your short lives are over!,
0:00:54.77,0:00:55.64,Qi Yan: Xiao-Die,,#A9A0FF
0:00:56.53,0:00:58.27,Xiao-Die! Baying!,#A9A0FF
0:00:58.27,0:00:59.31,Xiao-Die: Gege!,
0:00:59.75,0:01:02.00,Gege, save us!,
0:01:02.00,0:01:03.81,Gege!,
0:01:03.81,0:01:08.74,Qi Yan: Ah! Ugh… Gh!,#A9A0FF
0:01:11.34,0:01:12.90,Qi Yan: No!,#A9A0FF
0:01:13.79,0:01:17.18,Xiao-Die, Baying!,#A9A0FF
0:01:17.18,0:01:18.55,Let them go!,#A9A0FF
0:01:19.35,0:01:23.20,Nangong Jingnu: Qi Yan, Qi Yan, wake up.,#FF7D40
0:01:24.57,0:01:26.71,Why are you so hot,,#FF7D40
0:01:27.74,0:01:30.84,Qi Yan, don’t scare me!,#FF7D40
0:01:30.84,0:01:31.80,Qi Yan!,#FF7D40
0:01:36.18,0:01:40.72,Nangong Jingnu: Adapted from Jinjiang Literature City’s ‘Clear and Muddy Loss of Love’,,#FF7D40
0:01:40.72,0:01:42.81,an original work by Please Don’t Laugh,,#FF7D40
0:01:42.81,0:01:44.91,produced by Yinhang Media,,#FF7D40
0:01:44.91,0:01:47.26,broadcasting exclusively on Maoer FM,,#FF7D40
0:01:48.06,0:01:52.60,‘Two Adamant Hearts’ audio drama season one,,#FF7D40
0:01:52.60,0:01:55.69,episode thirteen, please enjoy.,#FF7D40
0:02:08.15,0:02:10.95,[Princess estate],
0:02:11.64,0:02:14.23,Qi Yan: No… Don’t…,#A9A0FF
0:02:15.06,0:02:16.38,No… Don’t…,#A9A0FF
0:02:20.37,0:02:21.11,Nangong Jingnu: Imperial doctor Ding,,#FF7D40
0:02:21.46,0:02:24.61,why is Fuma still not waking up even after taking medicine and acupuncture?,#FF7D40
0:02:24.96,0:02:26.24,Ding You: Lord Fuma’s health is fundamentally weak…,
0:02:26.65,0:02:28.17,Qi Yan: Let go of them!,#A9A0FF
0:02:28.17,0:02:29.10,Let go! Let go of them…,#A9A0FF
0:02:29.15,0:02:29.86,Nangong Jingnu: Qi Yan?,#FF7D40
0:02:30.93,0:02:32.99,Qi Yan, are you awake?,#FF7D40
0:02:33.58,0:02:34.56,Imperial doctor Ding?,#FF7D40
0:02:34.75,0:02:35.60,Ding You: Your Highness,,
0:02:36.29,0:02:39.20,Lord Fuma is sleep talking,,
0:02:39.92,0:02:41.05,it is probably a nightmare.,
0:02:41.55,0:02:42.91,Nangong Jingnu: What should we do?,#FF7D40
0:02:43.16,0:02:44.87,Ding You: Please calm down, Your Highness.,
0:02:49.93,0:02:50.65,Ding You: Your Highness,,
0:02:51.39,0:02:54.21,this is a pill that this subject developed to calm the mind and spirit.,
0:02:54.56,0:02:56.18,It is highly effective in suppressing nightmares,,
0:02:56.71,0:02:57.47,but…,
0:02:58.57,0:03:00.81,this sort of medicine is not recorded in the imperial hospital.,
0:03:01.29,0:03:02.81,Other than this subject,,
0:03:03.16,0:03:04.35,this pill has not been tested by anyone else.,
0:03:05.44,0:03:08.74,This subject dares not to use it on Lord Fuma.,
0:03:10.23,0:03:11.36,Nangong Jingnu: A drug test, is that it?,#FF7D40
0:03:12.08,0:03:12.97,I’ll do it!,#FF7D40
0:03:13.66,0:03:15.64,[Nangong Jingnu swallows the pill],
0:03:17.66,0:03:18.38,Ding You: Your Highness,,
0:03:18.68,0:03:20.07,this subject deserves a thousand deaths!,
0:03:20.40,0:03:21.50,Nangong Jingnu: I pardon you from the offense.,#FF7D40
0:03:21.61,0:03:23.22,There aren’t any outsiders here anyways…,#FF7D40
0:03:23.68,0:03:25.89,How long will it take before he can take this?,#FF7D40
0:03:26.96,0:03:28.08,Ding You: In a quarter of an hour.,
0:03:28.56,0:03:29.95,If Your Highness feels no discomfort,,
0:03:29.95,0:03:31.56,it is safe for Lord Fuma to use.,
0:03:31.56,0:03:32.69,Qi Yan: I’ll fight you all!,#A9A0FF
0:03:33.53,0:03:34.62,Qi Yan: Let go of them!,#A9A0FF
0:03:35.56,0:03:36.53,Let go of them…,#A9A0FF
0:03:36.88,0:03:37.73,Ding You: **Oh no.**,
0:03:38.51,0:03:39.42,Ding You: Your Highness,,
0:03:40.01,0:03:41.53,Lord Fuma’s nightmare is too strong,,
0:03:41.89,0:03:44.61,perhaps the drug should be taken now!,
0:03:39.03,0:03:40.01,Qi Yan: I’m sorry…,#A9A0FF
0:03:41.48,0:03:42.65,Let them go,,#A9A0FF
0:03:43.52,0:03:46.91,I’m sorry, I’m sorry.,#A9A0FF
0:03:44.61,0:03:46.91,Nangong Jingnu: Mn, that is fine.,#FF7D40
0:03:54.27,0:03:56.90,Ding You: Your Highness, Lord Fuma is burning up,,
0:03:57.40,0:03:59.40,this subject will need to rub alcohol on Lord Fuma.,
0:04:00.24,0:04:02.91,Please move to the side hall and wait in the meantime, Your Highness.,
0:04:04.13,0:04:04.76,Nangong Jingnu: Alright,,#FF7D40
0:04:05.37,0:04:06.65,thank you for going through all this trouble, imperial doctor Ding.,#FF7D40
0:04:06.89,0:04:07.56,Ding You: Understood.,
0:04:16.47,0:04:18.44,Ding You: Qi Yan, Qi Yan?,
0:04:18.85,0:04:20.12,Wake up…,
0:04:21.00,0:04:23.33,Qi Yan: Father Khagan, mother, Xiao-Die…,#A9A0FF
0:04:26.32,0:04:28.17,I’m sorry, I’m sorry.,#A9A0FF
0:04:23.96,0:04:25.76,Ding You: Something will go seriously wrong if this continues,,
0:04:27.06,0:04:30.84,I have to risk piercing the acupuncture points on the top of the head!,
0:04:36.31,0:04:36.83,Qi Yan: Gh!,#A9A0FF
0:04:39.20,0:04:41.59,Ding You: Qi Yan, Qi Yan?,
0:04:47.11,0:04:48.26,Qi Yan: It’s you?,#A9A0FF
0:04:50.71,0:04:51.77,Why are you…,#A9A0FF
0:04:52.69,0:04:54.06,Did I fall sick again?,#A9A0FF
0:04:54.29,0:04:55.92,Ding You: You almost scared me to death.,
0:04:56.64,0:04:58.22,You were having a nightmare again,,
